what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522156890979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522156894570
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1522156896864
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1522156896864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522156900594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522156901811
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1522156902076
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1522156902092
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522156903637
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1522156903965
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1522156903965
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/Users/Francisco/Desktop/DE2_70_QSYS/Eclipse/software/Teste/Teste.elf] return code: 4, 'other error'",1522156908105
error,log,,,"Downloading ELF Process failed",1522156908105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522156908120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522156910701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522156914777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158521352
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1522158524410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158524457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158524956
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1522158524956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522158524956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158525737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158526080
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1522158526080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522158526080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158527344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158528438
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158528485
error,log,,,"Problems saving workspace",1522158530171
error,log,,,"Problems occurred while trying to save the state of the workbench.",1522158530171
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1522158530233
